question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,start_date,end_date,election_date,url,stage,race_id,answer,candidate_name,candidate_party,pct,,
124568,66766,2020,Tennessee,1468,SSRS,396,Vanderbilt,SSRS,297,SSRS,B/C,1000,rv,rv,Live Phone,U.S. President,5/5/20,5/22/20,11/3/20,https://www.vanderbilt.edu/csdi/2020_Spring_topline.pdf,general,6253,Biden,Joseph R. Biden Jr.,DEM,42,,
124568,66766,2020,Tennessee,1468,SSRS,396,Vanderbilt,SSRS,297,SSRS,B/C,1000,rv,rv,Live Phone,U.S. President,5/5/20,5/22/20,11/3/20,https://www.vanderbilt.edu/csdi/2020_Spring_topline.pdf,general,6253,Trump,Donald Trump,REP,51,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
