question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,start_date,end_date,election_date,url,stage,race_id,answer,candidate_name,candidate_party,pct,,
124049,66561,2020,Indiana,1380,Victoria Research & Consulting,1311,Karen Tallian,Victoria Research & Consulting,369,Victoria Research & Consulting,B/C,894,lv,lv,Online,U.S. President,5/21/20,5/23/20,11/3/20,https://www.slideshare.net/IndianaBarrister/karen-tallian-attorney-general-poll,general,6226,Biden,Joseph R. Biden Jr.,DEM,39,,
124049,66561,2020,Indiana,1380,Victoria Research & Consulting,1311,Karen Tallian,Victoria Research & Consulting,369,Victoria Research & Consulting,B/C,894,lv,lv,Online,U.S. President,5/21/20,5/23/20,11/3/20,https://www.slideshare.net/IndianaBarrister/karen-tallian-attorney-general-poll,general,6226,Trump,Donald Trump,REP,49,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
