question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,start_date,end_date,election_date,url,stage,race_id,answer,candidate_name,candidate_party,pct,,
123970,66525,2020,Utah,1243,Y2 Analytics,"9,531,106",Utah Policy | KUTV 2News,Y2 Analytics,389,Y2 Analytics,B/C,1078,lv,lv,Online,U.S. President,5/9/20,5/15/20,11/3/20,https://www.utpoliticaltrends.com/s/UPTP-May-2020-Topline-FPR-0526.pdf,general,6255,Biden,Joseph R. Biden Jr.,DEM,41,,
123970,66525,2020,Utah,1243,Y2 Analytics,"9,531,106",Utah Policy | KUTV 2News,Y2 Analytics,389,Y2 Analytics,B/C,1078,lv,lv,Online,U.S. President,5/9/20,5/15/20,11/3/20,https://www.utpoliticaltrends.com/s/UPTP-May-2020-Topline-FPR-0526.pdf,general,6255,Trump,Donald Trump,REP,44,,
124772,66525,2020,Utah,1243,Y2 Analytics,"9,531,106",Utah Policy | KUTV 2News,Y2 Analytics,389,Y2 Analytics,B/C,1078,lv,lv,Online,U.S. President,5/9/20,5/15/20,11/3/20,https://www.utpoliticaltrends.com/thedeeperstate/the-importance-of-weighting,general,6255,Biden,Joseph R. Biden Jr.,DEM,40,,
124772,66525,2020,Utah,1243,Y2 Analytics,"9,531,106",Utah Policy | KUTV 2News,Y2 Analytics,389,Y2 Analytics,B/C,1078,lv,lv,Online,U.S. President,5/9/20,5/15/20,11/3/20,https://www.utpoliticaltrends.com/thedeeperstate/the-importance-of-weighting,general,6255,Trump,Donald Trump,REP,46,,
